Test Name,Status,Timestamp
autenticacion_login,Pasa,2025-04-25 08:00:00
autenticacion_login,Falla,2025-04-25 08:10:00
autenticacion_login,Pasa,2025-04-25 08:20:00
autenticacion_logout,Pasa,2025-04-25 08:30:00
autenticacion_logout,Pasa,2025-04-25 08:40:00
registro_usuario,Pasa,2025-04-25 08:50:00
registro_usuario,Pasa,2025-04-25 09:00:00
registro_usuario,Falla,2025-04-25 09:10:00
compra_carrito,Pasa,2025-04-25 09:20:00
compra_carrito,Falla,2025-04-25 09:30:00
compra_carrito,Pasa,2025-04-25 09:40:00
compra_pago,Falla,2025-04-25 09:50:00
compra_pago,Pasa,2025-04-25 10:00:00
compra_pago,Pasa,2025-04-25 10:10:00
compra_pago,Falla,2025-04-25 10:20:00
compra_confirmacion,Pasa,2025-04-25 10:30:00
compra_confirmacion,Pasa,2025-04-25 10:40:00
busqueda_producto,Falla,2025-04-25 10:50:00
busqueda_producto,Pasa,2025-04-25 11:00:00
busqueda_producto,Falla,2025-04-25 11:10:00
perfil_actualizar_datos,Pasa,2025-04-25 11:20:00
perfil_actualizar_datos,Pasa,2025-04-25 11:30:00
perfil_actualizar_datos,Falla,2025-04-25 11:40:00
perfil_subir_foto,Falla,2025-04-25 11:50:00
perfil_subir_foto,Pasa,2025-04-25 12:00:00
perfil_subir_foto,Pasa,2025-04-25 12:10:00
notificaciones_push,Pasa,2025-04-25 12:20:00
notificaciones_push,Pasa,2025-04-25 12:30:00
notificaciones_email,Falla,2025-04-25 12:40:00
notificaciones_email,Falla,2025-04-25 12:50:00
notificaciones_email,Pasa,2025-04-25 13:00:00
seguridad_cambiar_contrasena,Pasa,2025-04-25 13:10:00
seguridad_cambiar_contrasena,Falla,2025-04-25 13:20:00
seguridad_cambiar_contrasena,Pasa,2025-04-25 13:30:00
seguridad_doble_autenticacion,Pasa,2025-04-25 13:40:00
seguridad_doble_autenticacion,Pasa,2025-04-25 13:50:00
seguridad_doble_autenticacion,Falla,2025-04-25 14:00:00
